depcom,ncc,nccenr,depcom_pole
44060,LE FRESNE-SUR-LOIRE,Le Fresne-sur-Loire,49160
44093,MAUMUSSON,Maumusson,44180
44147,LA ROUXIERE,La Rouxière,44213
44167,SAINT-JEAN-DE-CORCOUE,Saint-Jean-de-Corcoué,44156
44177,SAINTE-MARIE,Sainte-Marie,44131
44181,SAINT-MEME-LE-TENU,Saint-Même-le-Tenu,44087
44191,SAINT-SULPICE-DES-LANDES,Saint-Sulpice-des-Landes,44180
44219,VRITZ,Vritz,44180
44225,FREIGNE,Freigné,44180
45003,ALLAINVILLE-EN-BEAUCE,Allainville-en-Beauce,45240
45007,ARRABLOY,Arrabloy,45155
45048,BOUZONVILLE-EN-BEAUCE,Bouzonville-en-Beauce,45253
45057,LABROSSE,Labrosse,45191
45071,CHANGY,Changy,45332
45090,CHEMAULT,Chemault,45035
45106,COUDRAY,Coudray,45191
45128,DOSSAINVILLE,Dossainville,45065
45140,FARONVILLE,Faronville,45240
45163,GUIGNONVILLE,Guignonville,45160
45172,IZY,Izy,45025
45190,MAINVILLIERS,Mainvilliers,45191
45192,MANCHECOURT,Manchecourt,45191
45211,MONTCORBON,Montcorbon,45129
45221,NANGEVILLE,Nangeville,45191
45236,ORVEAU-BELLESAUVE,Orveau-Bellesauve,45191
45267,SAINT-AIGNAN-DES-GUES,Saint-Aignan-des-Gués,45051
45295,SAINT-PERAVY-EPREUX,Saint-Péravy-Épreux,45240
45304,SEBOUVILLE,Sébouville,45162
45318,TEILLAY-LE-GAUDIN,Teillay-le-Gaudin,45240
45319,TEILLAY-SAINT-BENOIT,Teillay-Saint-Benoît,45118
45349,YEVRE-LE-CHATEL,Yèvre-le-Châtel,45348
46019,BEAUMAT,Beaumat,46138
46025,BELMONTET,Belmontet,46201
46048,CALVIAC,Calviac,46311
46071,COMIAC,Comiac,46311
46077,COURS,Cours,46156
46110,FONTANES-DU-CAUSSE,Fontanes-du-Causse,46138
46141,LACAM-D'OURCET,Lacam-d'Ourcet,46311
46150,LAMATIVIE,Lamativie,46311
46158,LASCABANES,Lascabanes,46262
46166,LEBREIL,Lebreil,46201
46248,SAINTE-ALAUZIE,Sainte-Alauzie,46063
46261,SAINTE-CROIX,Sainte-Croix,46201
46274,SAINT-LAURENT-LOLMIE,Saint-Laurent-Lolmie,46262
46275,SAINT-MARTIN-DE-VERS,Saint-Martin-de-Vers,46252
46287,SAINT-PAUL-DE-LOUBRESSAC,Saint-Paul-de-Loubressac,46103
46291,SAINT-SAUVEUR-LA-VALLEE,Saint-Sauveur-la-Vallée,46138
46325,VAILLAC,Vaillac,46138
46326,VALPRIONDE,Valprionde,46201
46327,VALROUFIE,Valroufié,46156
46331,VERS,Vers,46268
47116,GUEYZE,Gueyze,47302
47149,LISSE,Lisse,47221
47153,LUSIGNAN-GRAND,Lusignan-Grand,47246
47166,MEYLAN,Meylan,47302
47243,SAINT-GAYRAND,Saint-Gayrand,47112
47261,SAINT-NAZAIRE,Saint-Nazaire,47142
47268,SAINT-PIERRE-DE-CAUBEL,Saint-Pierre-de-Caubel,47206
47270,SAINT-PIERRE-DE-NOGARET,Saint-Pierre-de-Nogaret,47110
47322,VILLENEUVE-DE-MEZIN,Villeneuve-de-Mézin,47134
48006,ARCOMIE,Arcomie,48012
48011,AUXILLAC,Auxillac,48034
48014,BAGNOLS-LES-BAINS,Bagnols-les-Bains,48027
48022,BEDOUES,Bédouès,48050
48023,BELVEZET,Belvezet,48027
48024,BERC,Berc,48012
48033,CANILHAC,Canilhac,48017
48035,LA CAPELLE,La Capelle,48034
48040,CHASSERADES,Chasseradès,48027
