depcom,cp,ncc,nccenr,longitude,latitude
28154,28190,FONTAINE-LA-GUYON,Fontaine-la-Guyon,1.3114557420997193,48.471854453530064
28155,28170,FONTAINE-LES-RIBOUTS,Fontaine-les-Ribouts,1.255373184403669,48.652796439543934
28156,28240,FONTAINE-SIMON,Fontaine-Simon,1.0179631263435382,48.50331285489732
28157,28140,FONTENAY-SUR-CONIE,Fontenay-sur-Conie,1.6670265020034398,48.164133475151736
28158,28630,FONTENAY-SUR-EURE,Fontenay-sur-Eure,1.4057828921300988,48.39577385726119
28159,28250,LA FRAMBOISIERE,La Framboisière,1.0132041127512186,48.59321755796565
28160,28700,FRANCOURVILLE,Francourville,1.6609367720636492,48.40432893881798
28161,28160,FRAZE,Frazé,1.0985221793305788,48.26074771210019
28162,28360,FRESNAY-LE-COMTE,Fresnay-le-Comte,1.4760807901954287,48.301312841374546
28163,28300,FRESNAY-LE-GILMERT,Fresnay-le-Gilmert,1.4170928132039688,48.51379971541902
28164,28310,FRESNAY-L'EVEQUE,Fresnay-l'Évêque,1.8221690842509195,48.264770740099685
28165,28480,FRETIGNY,Frétigny,0.9688811741628441,48.37199353366573
28166,28240,FRIAIZE,Friaize,1.1329459827883883,48.43048668576163
28167,28190,FRUNCE,Fruncé,1.2230264650156186,48.40577378056298
28168,28320,GALLARDON,Gallardon,1.6890257613943889,48.52430830477878
28169,28700,GARANCIERES-EN-BEAUCE,Garancières-en-Beauce,1.919744093710129,48.43576037747703
28170,28500,GARANCIERES-EN-DROUAIS,Garancières-en-Drouais,1.2850274900505483,48.70090962940585
28171,28500,GARNAY,Garnay,1.336565526546059,48.70433845658064
28172,28320,GAS,Gas,1.6663087106085188,48.5654412239978
28173,28300,GASVILLE-OISEME,Gasville-Oisème,1.5361739231018885,48.46853912794076
28175,28400,LA GAUDAINE,La Gaudaine,0.9284130157391212,48.301991889121936
28176,28800,LE GAULT-SAINT-DENIS,Le Gault-Saint-Denis,1.48450431986832,48.24292676929171
28177,28630,GELLAINVILLE,Gellainville,1.5348994345651987,48.41723558173036
28178,28500,GERMAINVILLE,Germainville,1.4809230661449586,48.74134827617427
28180,28260,GILLES,Gilles,1.5141055242965789,48.91357100767688
28182,28160,GOHORY,Gohory,1.2284182228201896,48.1655643731806
28183,28310,GOMMERVILLE,Gommerville,1.9445506116209594,48.34510910321285
28184,28310,GOUILLONS,Gouillons,1.8393099245932591,48.34322474640018
28185,28410,GOUSSAINVILLE,Goussainville,1.5534224253174993,48.7755321552947
28187,28260,GUAINVILLE,Guainville,1.490889273980388,48.91418021225988
28188,28700,LE GUE-DE-LONGROI,Le Gué-de-Longroi,1.7194083012782697,48.50034757630323
28189,28310,GUILLEVILLE,Guilleville,1.8136481268192801,48.22419163670504
28190,28140,GUILLONVILLE,Guillonville,1.6621709352828289,48.09028136894351
28191,28130,HANCHES,Hanches,1.64638459646435,48.60210237664955
28192,28480,HAPPONVILLIERS,Happonvilliers,1.1110517740654784,48.324847845336876
28193,28410,HAVELU,Havelu,1.5326857046433204,48.78697321186698
28194,28700,HOUVILLE-LA-BRANCHE,Houville-la-Branche,1.641023471629779,48.44279285693401
28195,28130,HOUX,Houx,1.6188800230242886,48.56490002330629
28196,28120,ILLIERS-COMBRAY,Illiers-Combray,1.2468291519794086,48.299938186468346
28197,28310,INTREVILLE,Intréville,1.9360859342845504,48.29644438938926
28198,28200,JALLANS,Jallans,1.3697891078104398,48.074898591718615
28199,28310,JANVILLE,Janville,1.8815027176979795,48.199656922127865
28200,28250,JAUDRAIS,Jaudrais,1.1263665358501096,48.57705720162318
